City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Shache,CN,38.42,77.24,16.74,91,100,2.57,overcast clouds
252,Impfondo,CG,1.64,18.07,73.58,87,100,2.59,overcast clouds
253,Lhokseumawe,ID,5.18,97.15,79.5,77,100,2.57,overcast clouds
254,Dubai,AE,25.26,55.3,64.4,55,0,2.24,clear sky
255,Namibe,AO,-15.2,12.15,68.4,81,4,5.91,clear sky
256,Sandy Bay,AU,-42.91,147.35,61.0,58,75,12.75,broken clouds
257,Ahipara,NZ,-35.17,173.17,68.77,63,20,16.55,few clouds
258,Iqaluit,CA,63.75,-68.51,-0.4,70,75,18.34,light snow
259,Sitrah,BH,26.15,50.62,66.2,77,0,3.36,clear sky
260,Mujiayingzi,CN,42.12,118.78,6.76,87,10,8.88,clear sky
261,Ponta Do Sol,PT,32.67,-17.1,66.2,72,75,8.05,broken clouds
262,Road Town,VG,18.42,-64.62,78.8,83,40,13.87,scattered clouds
263,Nhulunbuy,AU,-12.23,136.77,87.8,66,40,10.29,scattered clouds
264,La Cruz,MX,23.92,-106.9,64.0,80,70,8.7,broken clouds
265,Saint-Georges,GD,12.06,-61.75,78.8,83,40,16.11,light rain
266,Kholm,RU,59.27,32.85,31.69,98,100,9.01,light snow
267,Koindu,GN,8.44,-10.33,65.05,62,44,1.43,scattered clouds
268,Trimbak,IN,19.93,73.55,57.56,45,1,5.37,clear sky
269,Newala,TZ,-10.94,39.28,68.29,100,68,3.58,light rain
270,Tasiilaq,GL,65.61,-37.64,30.2,92,100,39.15,heavy snow
271,Orange,US,33.7,-117.77,64.99,72,90,3.36,overcast clouds
272,Campos Gerais,BR,-21.23,-45.76,66.15,92,1,9.95,clear sky
273,Cockburn Town,TC,21.46,-71.14,78.8,69,40,13.87,scattered clouds
274,Nemuro,JP,43.32,145.57,32.0,87,75,2.24,broken clouds
275,Monroe,US,43.15,-77.68,44.01,52,90,13.87,overcast clouds
276,Bedele,ET,8.46,36.35,54.91,88,33,1.48,scattered clouds
