City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Kongolo,CD,68.2,broken clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
442,Wajir,KE,76.87,clear sky,1.75,40.06,Al- Amin lodge
443,Male,MV,78.8,broken clouds,4.17,73.51,Hotel Octave Maldives
447,Guerrero Negro,MX,62.17,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
448,Antofagasta,CL,66.2,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
450,Saldanha,ZA,62.6,scattered clouds,-33.01,17.94,Blue Bay Lodge
451,Brokopondo,SR,76.75,overcast clouds,4.75,-55.17,Matu Island
453,Swellendam,ZA,60.8,overcast clouds,-34.02,20.44,De Kloof Luxury Estate boutique Hotel & SPA
454,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
456,Nouadhibou,MR,62.6,clear sky,20.93,-17.03,El Medina
457,Galesong,ID,84.2,moderate rain,-5.32,119.37,Sapriadi Appy
459,Tual,ID,84.07,broken clouds,-5.67,132.75,Grand Vilia Hotel
460,Puerto Carreno,CO,80.8,clear sky,6.19,-67.49,Casa Hotel Victoria
462,Sao Joao Da Barra,BR,73.42,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
465,Ponto Novo,BR,71.91,clear sky,-10.86,-40.13,Pousada Mucambo
466,Hokitika,NZ,61.75,light rain,-42.72,170.97,Beachfront Hotel Hokitika
469,Kalmunai,LK,76.14,light rain,7.42,81.82,VS Villa
471,Tautira,PF,84.0,moderate rain,-17.73,-149.15,Pension Oaoa
475,Celestun,MX,75.79,clear sky,20.87,-90.4,Posada Lilia
477,Tahoua,NE,69.55,overcast clouds,14.89,5.27,Bungalows Guesthouse
478,Kununurra,AU,87.8,scattered clouds,-15.77,128.73,Hotel Kununurra
480,Padang,ID,78.98,overcast clouds,-0.95,100.35,Mercure Padang
481,Trairi,BR,78.51,scattered clouds,-3.28,-39.27,janelas do mar
482,Maceio,BR,75.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
484,Guaymas,MX,71.6,scattered clouds,27.93,-110.9,Holiday Inn Express Guaymas
485,Swan Hill,AU,75.06,clear sky,-35.34,143.55,Lazy River Motor Inn
489,Mongo,TD,67.68,clear sky,12.18,18.69,Résidences du Programme FIDA
495,Ambovombe,MG,74.88,broken clouds,-25.17,46.08,RELAHARA
496,Sharjah,AE,64.4,clear sky,25.36,55.4,Swiss Belhotel Sharjah
497,Gainesville,US,60.01,few clouds,29.65,-82.32,Wyndham Garden Gainesville
498,Tapes,BR,71.04,few clouds,-30.67,-51.4,Cabanas Camping Union
499,Tabou,CI,77.59,light rain,4.42,-7.35,hotêl doufoulougou
500,Descalvado,BR,73.4,clear sky,-21.9,-47.62,Hotel Descalvado
504,Mpika,ZM,61.81,light rain,-11.83,31.45,Melodies Lodge
505,Urucara,BR,79.34,overcast clouds,-2.54,-57.76,Pousada Maria Bonita
507,Te Anau,NZ,63.5,clear sky,-45.42,167.72,Kingsgate Hotel Te Anau
511,Puerto Escondido,MX,78.8,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
512,Lahat,ID,79.03,broken clouds,-3.8,103.53,Bukit Serelo Hotel
515,Townsville,AU,89.6,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
517,Caravelas,BR,75.9,broken clouds,-17.71,-39.25,Pousada dos Navegantes
518,Acajutla,SV,73.99,clear sky,13.59,-89.83,Urbanización Brisas de Acajutla II
522,Taquari,BR,68.0,clear sky,-29.8,-51.86,Martins Hotel
524,Tecoanapa,MX,77.59,clear sky,16.52,-98.75,Hotel Manglares
525,Tutoia,BR,80.76,overcast clouds,-2.76,-42.27,Pousada Guará's
527,Soyo,AO,76.66,overcast clouds,-6.13,12.37,Hotel Mpampa
528,Maneadero,MX,61.95,overcast clouds,31.72,-116.57,Casa De Thompson
530,Talara,PE,68.0,overcast clouds,-4.58,-81.27,Hostal Oro Negro
536,Boa Vista,BR,77.0,light rain,2.82,-60.67,Aipana Plaza Hotel
541,San Matias,BO,74.7,light rain,-16.37,-58.4,"HOTEL ""SAN JOSE"""
544,Mackay,AU,82.4,broken clouds,-21.15,149.2,International Lodge Motel
545,Hervey Bay,AU,84.0,overcast clouds,-25.3,152.85,Shelly Bay Resort
550,Manta,EC,77.0,broken clouds,-0.95,-80.73,Balandra Hotel
551,Santo Antonio De Jesus,BR,67.93,broken clouds,-12.97,-39.26,"5C Hotel - Conforto, Qualidade e Internet de Alta Velocidade"
554,Quatre Cocos,MU,77.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
555,Boueni,YT,80.6,light rain,-12.9,45.08,Santal Logis
559,Pitimbu,BR,78.8,few clouds,-7.47,-34.81,Reserva do Abiaí
561,Capitao Poco,BR,75.51,light rain,-1.75,-47.06,Hotel New Tokyo
567,Basco,PH,77.34,few clouds,20.45,121.97,Nathaniel's Lodge
575,Dicabisagan,PH,83.34,scattered clouds,17.08,122.42,Nancy Montanes Bernardo
577,Breves,BR,77.09,few clouds,-1.68,-50.48,Hotel e Restaurante Grill
578,Lakatoro,VU,86.0,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
582,Guane,CU,68.92,clear sky,22.2,-84.09,base de Campismo LosPortales de Guane
584,Saurimo,AO,62.04,broken clouds,-9.66,20.39,Hotel Kawissa Saurimo
585,Buchanan,LR,78.51,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
589,Muisne,EC,75.65,overcast clouds,0.6,-80.03,Quinta Samay
595,Grand Gaube,MU,75.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
596,Itarema,BR,78.73,overcast clouds,-2.92,-39.92,Windvillage
597,Vanimo,PG,78.87,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
602,Huarmey,PE,68.27,overcast clouds,-10.07,-78.15,Hotel Miramar
605,Mahuva,IN,65.93,clear sky,21.09,71.76,Hotel Blue Diamond.
608,Wajid,SO,72.82,clear sky,3.81,43.25,xamdihotelresturant114
612,Ahuimanu,US,80.6,few clouds,21.44,-157.84,Paradise Bay Resort
616,Palauig,PH,83.93,few clouds,15.44,119.9,Myhousebythesea
617,Peruibe,BR,71.89,broken clouds,-24.32,-47.0,Hotel Pousada Xapuri
618,Atoyac,MX,66.2,clear sky,20.02,-103.53,OYO Hotel Del Portal
622,Amahai,ID,87.62,overcast clouds,-3.33,128.92,HOTEL ISABELA
626,Coahuayana,MX,72.61,clear sky,18.73,-103.68,Hotel Los Arcos
629,Kiboga,UG,64.87,overcast clouds,0.92,31.77,Marie Lustenberger Guest House
632,Pontianak,ID,86.14,clear sky,-0.03,109.33,Aston Pontianak Hotel & Convention Center
634,Kontagora,NG,69.98,broken clouds,10.4,5.47,City Gate Inn
638,Prado,BR,75.79,broken clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
639,Chateaubelair,VC,80.6,scattered clouds,13.28,-61.25,Richmond Vale Diving & Hiking Center
642,Owando,CG,71.44,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
645,Itarantim,BR,67.75,clear sky,-15.66,-40.07,Hilton Carlos Ribeiro
648,Lithgow,AU,71.01,overcast clouds,-33.48,150.15,Zig Zag Motel
649,Ciudad Bolivar,VE,76.98,broken clouds,8.12,-63.55,Hotel Edi
651,San Vicente,AR,69.39,light rain,-26.62,-54.13,Complejo Turístico Farelluk
652,Humaita,BR,76.24,overcast clouds,-7.51,-63.02,Corrêa Hotel
653,Kirakira,SB,83.8,light rain,-10.45,161.92,SanBiz Lodge
654,Majene,ID,77.09,moderate rain,-3.54,118.97,Kost Putri RABBANI
657,Lumphat,KH,78.24,broken clouds,13.49,106.98,Lumphat Homestay
658,Acapulco,MX,78.8,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
659,Banda Aceh,ID,79.92,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
660,Abu Dhabi,AE,62.6,few clouds,24.47,54.37,Beach Rotana
662,Monrovia,LR,78.87,clear sky,6.3,-10.8,Eco-Hotel Hall & Restaurant
665,Palmares Do Sul,BR,71.19,clear sky,-30.26,-50.51,Restaurante e Pensão Lopes
667,Kisangani,CD,70.86,overcast clouds,0.52,25.2,Grand Ramela Hotel
668,Naze,JP,66.2,light intensity shower rain,28.37,129.48,奄美ポートタワーホテル
669,La Asuncion,VE,78.01,overcast clouds,11.03,-63.86,Colinas de Matasiete
671,Rantepao,ID,78.8,light rain,-2.97,119.9,Hotel Luta Resort
673,Punta Alta,AR,73.44,clear sky,-38.88,-62.07,Center Hotel Punta Alta
676,Axim,GH,78.51,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
678,Banjar,ID,84.2,scattered clouds,-8.19,114.97,The Hamsa Resort
680,Moron,AR,78.01,clear sky,-34.65,-58.62,Hotel Morón
684,Dimbokro,CI,75.88,few clouds,6.65,-4.7,complexe hôtelier le jardin d'Eden
686,Pathein,MM,71.76,clear sky,16.78,94.73,Pathein Hotel
688,Sola,VU,83.48,overcast clouds,-13.88,167.55,Ulkel Guest House
691,Andros Town,BS,75.2,clear sky,24.7,-77.77,Hanks place
696,Kavaratti,IN,82.02,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
697,Neiafu,TO,84.2,light rain,-18.65,-173.98,Mystic Sands
698,Mongomo,GQ,67.37,overcast clouds,1.63,11.31,Mbon Ekua
703,Nago,JP,71.6,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
705,Baraya,CO,72.19,scattered clouds,3.15,-75.05,HOTEL LOS ALMENDROS
708,Porto Santo,PT,64.4,few clouds,33.07,-16.34,Hotel Porto Santo & Spa
